,project_name,#commits,#kwds
0,felipebravom/AffectiveTweets,308,1
1,stanfordnlp/CoreNLP,17080,151
2,datacleaner/DataCleaner,6773,86
3,deeplearning4j/deeplearning4j,2661,119
4,elki-project/elki,10376,761
5,foundry-rs/foundry,2200,174
6,kermitt2/grobid,2969,22
7,jenetics/jenetics,11902,109
8,knime/knime-core,18546,202
9,universal-automata/liblevenshtein-java,244,2
10,apache/mahout,4552,95
11,mimno/Mallet,756,10
12,Waikato/moa,1278,4
13,modernmt/modernmt,3406,132
14,rabidgremlin/Mutters,208,9
15,graphaware/neo4j-nlp,706,67
16,CElabls/neuronix,143,3
17,haifengl/smile,3093,172
18,apache/submarine,1010,103
19,jtablesaw/tablesaw,2505,31
20,fiji/Trainable_Segmentation,1338,4
21,Waikato/weka-trunk,9984,27
22,vespa-engine/vespa,71919,744
23,elastic/elasticsearch,67907,1571
